Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,year
08/12/2017,Completed,09/08/2017,17-05392275,Abandoned Vehicle Complaint,L755594,Chevrolet,Gray,Place 7 Day Sticker,Inspected and 7 day sticker applied to vehicle,60,3135 W 54TH ST,60632,1156394.5123229,1868654.88968121,14,9,63,NA,41.79524719927,-87.70257721952,"(-87.70257721952028, 41.795247199268935)",2017
08/10/2017,Completed,08/17/2017,17-05344031,Abandoned Vehicle Complaint,18772,Toyota,Black,FVI - Outcome,Vehicle was moved from original address requested,31,8343 S INGLESIDE AVE,NA,1184009.56057237,1849869.01956745,8,6,44,NA,41.74272660809,-87.60120601344,"(-87.60120601344292, 41.742726608094344)",2017
06/28/2017,Completed,09/06/2017,17-04278856,Abandoned Vehicle Complaint,Q474248,Buick,Brown,NA,NA,30,17 W 114TH PL,60628,1178175.46743438,1829050.93192788,34,5,49,NA,41.68611054458,-87.62364290076,"(-87.62364290076368, 41.68611054458488)",2017
12/22/2017,Completed,01/19/2018,17-08543017,Abandoned Vehicle Complaint,001842595,Chevrolet,White,Place 7 Day Sticker,Inspected and 7 day sticker applied to vehicle,21,8151 S CHRISTIANA AVE,60652,1155466.77641334,1850348.98817095,18,8,70,NA,41.74458766397,-87.70576231531,"(-87.70576231530752, 41.744587663973746)",2017
12/29/2017,Completed,01/23/2018,17-08652314,Abandoned Vehicle Complaint,Q146711,Buick,Gray,FVI - Outcome,Vehicle was moved from original address requested,30,3142 W 40TH ST,60632,1156049.62213365,1877926.01500091,12,9,58,NA,41.82091481222,-87.70368411324,"(-87.70368411324101, 41.820914812222426)",2017
07/24/2017,Completed,08/23/2017,17-04882990,Abandoned Vehicle Complaint,NA,NA,NA,FVI - Outcome,Vehicle was moved from original address requested,NA,2743 W 36TH ST,60632,1158663.02552694,1880671.45400104,12,9,58,NA,41.82817171991,-87.69403342465,"(-87.69403342465372, 41.82817171990938)",2017
11/07/2017,Completed,11/28/2017,17-07521653,Abandoned Vehicle Complaint,MISSING,Ford,White,FVI - Outcome,Vehicle was moved from original address requested,30,2648 W ARDMORE AVE,60659,1157535.50650549,1938415.86328759,40,20,2,NA,41.98688347162,-87.69645067872,"(-87.69645067871733, 41.98688347161645)",2017
08/08/2017,Completed - Dup,08/09/2017,17-05296607,Abandoned Vehicle Complaint,NO PLATES,Acura,Silver,FVI - Outcome,Create Work Order,72,2623 S STEWART AVE,60616,1174104.3970997499,1886922.22020901,11,9,34,NA,41.84476048225,-87.63639195713,"(-87.6363919571328, 41.84476048225011)",2017
11/08/2017,Completed,12/01/2017,17-07551134,Abandoned Vehicle Complaint,AG61877,Jeep - Year Greater 1988,Gray,FVI - Outcome,Vehicle was moved from original address requested,7,6500 S PARNELL AVE,60621,1173684.95998613,1861797.88012538,20,7,68,NA,41.77613922296,-87.6389775685,"(-87.63897756849867, 41.77613922295825)",2017
10/21/2017,Completed,11/14/2017,17-07086041,Abandoned Vehicle Complaint,41 7920,General Motors Corp.,White,FVI - Outcome,Vehicle was moved from original address requested,9,6613 S KEDZIE AVE,60629,1156189.62871008,1860543.21166722,17,8,66,NA,41.77305553458,-87.70285346823,"(-87.70285346822759, 41.77305553458483)",2017
09/16/2017,Completed - Dup,09/18/2017,17-06184109,Abandoned Vehicle Complaint,Z995960,Mercury,Brown,FVI - Outcome,Create Work Order,21,742 W 92ND ST,60620,1172874.85861148,1843850.13488679,21,22,73,NA,41.72705896518,-87.64266741245,"(-87.64266741244536, 41.72705896517811)",2017
